,property_id,property_name,hotel_description,address,point_of_interest,city,state,country,latitude,longitude,property_type,hotel_star_rating,hotel_facilities,room_facilities
3314,H001641,Hotel Saratha Rajans,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"27 Panagal Road, Shenoy Nagar","['Shenoy Nagar', 'Periyar Bus Stand', 'Pudur Bus Stand', 'Anna Nagar Bus Stop', 'Mattuthavani Bus Stand']",Madurai,Tamil Nadu,India,9.9255542738,78.1365814822,Hotel,2,"['Airport Transfer Available / Surcharge', 'Banquet Facilities', 'Bar / Lounge ', 'Business Center ', 'Currency Exchange', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Air-Conditioning - Central', 'Welcome Drinks', 'Power Backup', 'Express Check-In / Check-Out', 'Wake-up Call / Service', 'Conference Facility ', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Open Air Restaurant / Dining ', 'Car Rental', 'Express Laundry', 'Internet Access Free', 'Party hall', 'Parking Facility', 'Room Service']","['Room Service ', 'Air Conditioning ', 'Internet Connection In Room', 'Telephone', ' Hot / Cold Running Water', 'Breakfast Available']"
3315,H001642,Hotel Serene Nest,"The standard check-in time is 11:00 PM and the standard check-out time is 11:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly According to government regulations, a valid Photo ID has to be carried by every person who stays at the hotel. The identification proofs accepted are Drivers License, Voters Card, Passport, Ration Card.","Plot no-131P, Jubilee Garden,( Behind TCS Kohinoor E-Park and  Harsha Toyota) Kondapur","['Shilparamam', 'Cyber Tower', 'Hi-Tech City']",Hyderabad,Andhra Pradesh,India,17.4627184746,78.368685754,Hotel,0,"['Airport Transfer Available / Surcharge', 'Banquet Facilities', 'Doctor on Call', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Table Tennis', 'Valet service', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Medical Assistance Available', 'Power Backup', 'Express Check-In / Check-Out', 'Wake-up Call / Service', 'Grocery', 'Car Rental', 'Water Dispenser Available', 'Food Facility', 'Internet Access Free', 'Newspapers In Lobby', 'Family Room', 'Room Service (24 Hours)', 'Air / Rail Booking', 'RO Water Purification System', 'Parking Facility', 'Internet Access']","['Room Service ', 'Air Conditioning ', 'Alarm Clock', 'Basic Bathroom Amenities', 'Video/ DVD/ CD Player Available', 'Ceiling Fan', 'Internet Connection In Room', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room']"
3317,H001643,Hotel Silver Sand,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Valid Id Proof is require at the time of check in. Unmarried couple is not allowed. Standard Check in check out time is 12:00:00,"Limda Chowk, Opp. Tata Indicom, Nr. Reliance Petrol Pump","['Moti Tanki', 'Kanak Road', 'Watson Museum and Library', 'ST Bus Stand', 'Rashtriya Shala', 'Jawahar Road', 'Rajkot Airport', 'Limbda Chowk']",Rajkot,Gujarat,India,22.2964119,70.7975269,Hotel,4,"['Airport Transfer Available / Surcharge', 'Banquet Facilities', 'Business Center ', 'Concierge', 'Currency Exchange', 'Doctor on Call', 'Dry Cleaning', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Non Smoking Rooms', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Power Backup', 'Wedding Services Facility', 'Wake-up Call / Service', 'Separate Sitting Area', 'Coffee Shop / Cafe', 'Conference Facility ', 'Electronic / Magnetic Keys', 'Fire Place Available ', 'Discotheque ', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Smoking Area ', 'Transfers Available', 'Extra Person / Child - Share the same room', 'Car Rental', 'Express Laundry', 'Taxi Services', 'Food Facility', 'Internet Access Free', 'Newspapers In Lobby', 'Room Service (24 Hours)', 'Party hall', 'Air / Rail Booking', 'STD / ISD', 'RO Water Purification System', 'Airport Transfer Free', 'Outdoor Parking - Secured', 'Parking Facility']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Internet Connection In Room', 'Telephone', 'Shower Facility Available', 'Reading Lamps', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Toiletries', 'Makeup / Shaving Mirror', 'Premium Amenities / Toiletries', 'Moisturiser', 'HD / LCD Satellite TV ', 'TV', 'Mirror', 'Luxurious Feather Mattresses', 'Luggage Rack', 'Attached Bathroom']"
3318,H001644,Hotel Shakuntala,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory supplement on any festive periods. Any such supplements need to be paid at the hotel. As per govt. guidelines valid govt.issued ID proof are required at the tome of check in.,"Near Shiv Mandir, Bhimani, Vaishno Devi","['shilimar park', 'katra helipad', 'Katra Bus Stand', 'Others', 'Railway Station']",Katra,Jammu and Kashmir,India,32.9914962,74.9318173,Hotel,0,"['Doctor on Call', 'Lobby', 'Front Desk', '24 Hour Front Desk']","['Room Service ', 'Basic Bathroom Amenities', 'Ceiling Fan', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Attached Bathroom']"
3319,H001645,Hotel Shivalin,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly we need id proof at the time of check in. Unmarried Couples are not allowed to check in.,"Near Mahaganpati Mandir,Pune Nagar Highway, Ranjangaon",['Pune Nagar Road'],Pune,Maharashtra,India,18.7535426307,74.2401110375,Hotel,2,"['Airport Transfer Available / Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Non Smoking Rooms', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', '24 Hour Front Desk', 'Car Rental', 'Newspapers In Lobby', 'Restaurant', 'Room Service']","['Room Service ', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Telephone', ' Hot / Cold Running Water', 'Housekeeping', 'Toiletries', 'Premium Amenities / Toiletries', 'Coffee Table', 'HD / LCD Satellite TV ', 'TV', 'Mirror', 'Attached Bathroom']"
3320,H001646,Hotel Satkar Residency,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Customer will pay 7.42% Tax to hotel at the time of check in. Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"Club House, Old Manali, Manali","['Solang Valley', 'Manikaran', 'Manu Temple', 'Shimla', 'Vashisht Hot Springs', 'Club House', 'Kullu', 'Chandigarh', 'Mandi', 'Naggar Road market area', 'Tibetan monasteries', 'Arjun Gufa (Caves)', 'Jagatsuhk', 'Hadimba Temple', 'Chandrakhani Pass', 'Tibetan Monasteries', 'Vashist Hot Water Springs and Temples', 'Van Vihar', 'Lady Willingdon Hospital', 'Manali Bus Stand', 'Civil Hospital', 'Old Manali', 'Manali 1st Super Market']",Manali,Himachal Pradesh,India,32.2532855108,77.1798283415,Hotel,3,"['Business Center ', 'Concierge', 'Currency Exchange', 'Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', '24 Hour Front Desk', 'Luggage Storage', 'Welcome Drinks', 'Power Backup', 'Wedding Services Facility', 'Multi Lingual Staff', 'Suitable For Children', 'ATM / Banking', 'Fax Machine', 'Fire Place Available ', 'Picnic Area', 'Smoking Area ', ' Bike on Rent', 'Extra Person / Child - Share the same room', 'Car Rental', 'Taxi Services', ' Drivers Rest Room', 'Internet Access Free', 'Newspapers In Lobby', 'Family Room', 'Room Service (24 Hours)', 'Party hall', 'Baggage Room', 'Guide / Sightseeing Service', 'RO Water Purification System', 'Parking Facility', 'Room Service', 'Fishing', 'Trekking', 'Fire Safety', 'Porter Services Available']","['Cable / Satellite / Pay TV available', 'Video/ DVD/ CD Player Available', 'Heating Facility (on request) ', 'Telephone', 'Attached Bathroom']"
3321,H001647,Hotel Sea View,The standard check-in time is 10:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"Sea Beach, Alibaug","['Kolaba fort', 'Alibaug Beach', 'Alibagh Beach']",Alibag,Maharashtra,India,18.6396828471,72.8714940435,Hotel,0,"['Swimming Pool', 'Babysitting/ Child Care (surcharge)', 'Laundry Service Available', 'Lobby', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', '24 Hour Front Desk', 'Welcome Drinks', 'Taxi Services', 'Newspapers In Lobby', 'Room Service (24 Hours)', 'Parking Facility']","['Room Service ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Attached Bathroom']"
3322,H001648,Hotel Shanker Palace,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"Jammu Road, Katra","['shilimar park', 'katra helipad', 'Katra Bus Stand', 'Railway Station', 'Jammu Road']",Katra,Jammu and Kashmir,India,32.9918463985,74.9309340141,Hotel,0,"['Doctor on Call', 'Dry Cleaning', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Local Tour / Travel Desk']","['Laundry Service Available', 'Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Telephone']"
3323,H001649,Hotel Sharda,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"Hill Cart Road,Mallaguri Po Pradhan Nagar Siliguri","['Rai Bhawan', 'Hill Cart Road', 'North Bengal Science Centre', 'Sed-Gyued Monastery', 'Kali Mandir', 'City Mall', 'Savin Kingdom', 'Siliguri Railway Station']",Siliguri,West Bengal,India,26.7310324,88.4116999,Hotel,0,"['Banquet Facilities', 'Bar / Lounge ', 'Business Center ', 'Currency Exchange', 'Doctor on Call', 'Dry Cleaning', 'Health Club / Gym Facility Available', 'Laundry Service Available', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Local Tour / Travel Desk', '24 Hour Front Desk', 'Welcome Drinks', 'Massage Services ', 'Newspapers In Lobby', 'Room Service (24 Hours)', 'Parking Facility', 'Internet Access']","['Room Service ', 'Balcony / Terrace', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ensuite / Private Bathroom']"
3325,H001650,Hotel Shaan,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel Policies - Check in -1200PM Check out - 12:00 PM Alcohol Policy- Alcoholic beverage service is restricted to those 21 years or older (with valid identification).,"Opposite, G.P.O, M I Road","['National Institute Of Ayurveda', 'Brila Auditorium', 'Birla Mandir', 'Jaipur Railway Station', 'Tonk Road Bus stop', 'Hawa Mahal', 'Moti Doongri Ganesh Ji temple', 'Bapu Bazar', 'Sindhi Camp Bus Station', 'Metropolitan Mall', 'Jaipur General Post Office', 'Jaipur Hospital', 'Imperial Hospital &amp; Research Centre', 'Sawai Man Singh Hospital', 'NIMS UNIVERSITY', 'Nahargarh Fort', 'Johari Bazar', 'Jantar Mantar', 'Govind Dev Ji Temple', 'M I Road', 'Albert Hall', 'Ram Niwas Bagh', 'National Institute of Fire Engineering &amp; Safety Management', 'Laxmi Narayan Temple', 'Central Park', 'Apex Mall', 'Tripolia Bazar', 'City Palace', 'Sawai Mansingh Stadium', 'Maharaja  Sawai Man Singh II Museum', 'The Statue Circle', 'Imperial Hospital & Research Centre', 'National Institute of Fire Engineering & Safety Management']",Jaipur,Rajasthan,India,26.9170032,75.8042311,Hotel,0,"['Bar / Lounge ', 'Business Center ', 'Laundry Service Available', 'Lift / Elevator', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Power Backup', 'Room Service (24 Hours)']","['Air Conditioning ', 'Telephone', 'TV', 'Mirror']"
3326,H001651,Hotel Sheetal Plaza,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Local residents will not be allowed at the hotel Unmarried couple will not be allowed at the hotel PAN will not be considered as valid id proof Guest should show valid id proof such as passport , driving license , adhar card or voters id","Gulambaba  Compound , Near Jain Dharamsala, Opp. Railway Station, Surat.","['Sardar Patel Museum', 'Surat Railway Station', 'Railway Station Area', 'Surat Castle']",Surat,Gujarat,India,21.2048936,72.8408395,Hotel,2,"['Doctor on Call', 'Laundry Service Available', 'Lift / Elevator', 'Front Desk', '24 Hour Front Desk', 'Luggage Storage', 'Power Backup', 'Car Rental', 'Internet Access Free', 'Room Service (24 Hours)', 'Air / Rail Booking', 'Internet Access', 'Room Service', 'CCTV']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Internet Connection In Room', 'Shower Facility Available', 'Newspapers', ' Hot / Cold Running Water', 'Housekeeping', 'Toiletries', 'HD / LCD Satellite TV ', ""Split A.C's"", 'TV', 'Mirror', 'Luggage Rack', 'Attached Bathroom', 'Daily Room Cleaning']"
3327,H001652,Hotel Sartaj,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Unmarried Couples are not allowed. Also couples with ID proof of city same same as hotel are not allowed. Valid ID proof includes: Driving License, Voter ID, Passport. PAN card will not be counted as valid ID proof.","Hotel Sartaj, Bhadaur House, Near A.C, Market, Ludhiana","['Sahnewal Airport', 'Guru Nanak Stadium', 'Bhadaur House']",Ludhiana,Punjab,India,30.9178146486,75.8480970701,Hotel,1,"['Doctor on Call', 'Laundry Service Available', 'Lift / Elevator', 'Parking Facilities Available', 'Front Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Power Backup', 'Express Check-In / Check-Out', 'Wake-up Call / Service', 'Separate Sitting Area', 'Taxi Services', 'Internet Access Free', 'Newspapers In Lobby', 'RO Water Purification System', 'Outdoor Parking - Secured', 'Room Service', 'CCTV', 'Fire Exit Signs']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Telephone', 'Climate Control', 'Coffee Table', 'HD / LCD Satellite TV ', 'TV', 'Mirror', 'Attached Bathroom', 'Bedside Table', 'Clothes Hook in Bathroom', 'Daily Room Cleaning', 'Dustbins', 'Room Door Fitted with Lock and Key', 'Rooms with Attached Bathrooms', 'Sufficient Lighting']"
